ID,Text,Comment
Building.MemorialToFamily.DisplayName,Családi emlékmű,A large brazier surrounded by statues of a beaver family
Building.MetalFence.Description,Dekoratív kerítés vasból készítve.,
Building.MetalFence.DisplayName,Vas kerítés,
Building.MetalFence.FlavorDescription,"Óvakodj a hódoktól, akik fa helyett vassal dolgoznak.","Reference to ""beware the dog"" often written on fences."
Building.MetalPlatform.Description,"Egy hatalmas állvány, amit egy erős oszlop tart.",
Building.MetalPlatform.DisplayName,Vas állvány,
Building.MetalPlatform.FlavorDescription,"""Ez kisebbnek tűnt a katalógusban."" — Nóra nagyi","This platform looks like an enormours metal table, and Ma' Ngnonel is an older beaver. Please keep her name the same as in other localized flavor texts."
Building.MetalPlatform3x3.Description,"Egy vas állvány, amit egy erős központi oszlop tart.",
Building.MetalPlatform3x3.DisplayName,Vas állvány 3x3,Numbers at the end denote size X by Y.
Building.MetalPlatform5x5.Description,"Egy nagy vas állvány, amit egy erős központi oszlop tart fönn.",
Building.MetalPlatform5x5.DisplayName,Vas állvány 5x5,Numbers at the end denote size X by Y.
Building.Mine.Description,"Bányászokat alkalmaz, akik hulladékvasat termelnek ki a föld alatti romokból.",
Building.Mine.DisplayName,Bánya,An extracting facility which can be placed on underground ruins.
Building.Mine.FlavorDescription,"Túl mohón, és túl mélyre ásni? Ugyan már!","The mine provides an endless supply of scrap metal. Reference to 'they delved too greedily and too deep, and disturbed that from which they fled, Durin's Bane' from LOTR"
Building.MiniLodge.Description,"Pöttöm kunyhó, egyetlen hódnak.",
Building.MiniLodge.DisplayName,Remetelak,A small lodge for only one beaver
Building.MiniLodge.FlavorDescription,"Néha egyedül is megy.","Referencing 'Two Beavers Are Better Than One' meme-song from 'How I Met Your Mother' TV show."
Building.Motivatorium.Description,"Gépesített színház, ahol a Vasfog eszmék életre kelnek.",Iron Teeth must be the same as Faction.IronTeeth.DisplayName.
Building.Motivatorium.DisplayName,Motivatórium,
Building.Motivatorium.FlavorDescription,"""Együtt dolgozunk, éjjel és nappal – így születik a haladás szépsége!"" — Kazkó bá","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.MudBath.Description,"Iszapfürdő, ipari buborékadagolóval felszerelve.",
Building.MudBath.DisplayName,Iszapfürdő,"A mud bath infused with bubbles, basically a jacuzzi but that word is too human."
Building.MudBath.FlavorDescription,"Honnan jött ez a sok buborék?","Fart joke but it's easy to see it as bubbles all appear in the middle of the bath where the visitors' tails are directed."
Building.MudPit.Description,Egy pihentető iszapfürdő.,This building allows beavers to relax in an area similar to a spa.Employs miners who extract scrap metal from underground ruins.
Building.MudPit.DisplayName,Iszapgödör,"This building is a pit filled with mud, not for storage but entertainment."
Building.MudPit.FlavorDescription,Itt építik a kölykök az első kis gátjukat.,
Building.NaturalOverhang.Description,"Egy kinyúló szikla, amely szolgálhat hídként, vagy alapként más formációk és épületek számára. Visszatartja a vizet",
Building.NaturalOverhang2x1.DisplayName,Természetes kinyúlás 2x1,This structure is a solid rock overhang. Numbers at the end denote size X by Y.
Building.NaturalOverhang3x1.DisplayName,Természetes kinyúlás 3x1,This structure is a solid rock overhang. Numbers at the end denote size X by Y.
Building.NaturalOverhang4x1.DisplayName,Természetes kinyúlás 4x1,This structure is a solid rock overhang. Numbers at the end denote size X by Y.
Building.NaturalOverhang.FlavorDescription,"""Nézd meg, van-e lent víz, mielőtt ugrasz!"" — Zsömi",
Building.Numbercruncher.Description,"Bonyolult gépezet, amely hódok közreműködése nélkül végzi számításait.","This machine is a primitive computer."
Building.Numbercruncher.DisplayName,Számdaráló,A machine that's a primitive computer. It generates science points by performing research.
Building.Numbercruncher.FlavorDescription,Messze felülmúlja a már nyugdíjba vonult Számrágót.,"Suggests that beavers - just like hoomans - create new generations of ""computers"" and retire old ones."
Building.Observatory.Description,"A csillagok megfigyelésével a hódok többet tanulnak az őket körülvevő világról.","A building where beavers look into the space using telescopes"
Building.Observatory.DisplayName,Csillagvizsgáló,"A building where beavers look into the space using telescopes"
Building.Observatory.FlavorDescription,"Régen csak a tábortűz mellett csodáltuk az eget. Ma már megfigyeljük.",
Building.OilPress.Description,Repcemagból repceolajat présel.,Oil should be the same as in Building.OilPress.DisplayName
Building.OilPress.DisplayName,Olajprés,A building that's a giant press that squeezes out oil.
Building.OilPress.FlavorDescription,A kíváncsi hódkölykök még a sütit és a tobozt is szétlapítják vele.,"The process of squishing things with hydraulic press filmed in slo-mo is oddly fascinating, and makes for popular YT videos."
Building.Overhang.Description,"Egy kinyúló állvány, amely szolgálhat hídként, vagy alapként más épületek számára.",
Building.Overhang2x1.DisplayName,Kinyúlás 2x1,"An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y."
Building.Overhang3x1.DisplayName,Kinyúlás 3x1,"An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y."
Building.Overhang4x1.DisplayName,Kinyúlás 4x1,"An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y."
Building.Overhang5x1.DisplayName,Kinyúlás 5x1,"An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y."
Building.Overhang6x1.DisplayName,Kinyúlás 6x1,"An artificial overhang made out of wood and metal that allows new buildings to be put on top of it. Numbers at the end denote size X by Y."
Building.Overhang.FlavorDescription,"""Nézd már, mintha lépcsőt építenénk a felhőkig! Elgondolkodtat…"" — Tobzi",
Building.PaperMill.Description,Gépesített papír gyár.,Paper is a resource.
Building.PaperMill.DisplayName,Papírgyár,
Building.PaperMill.FlavorDescription,"A papírt először csak rágcsálták a gyűjtögetők, aztán rájöttek: sokkal többre is jó.",
Building.Path.Description,Ösvényekkel kell összekötni a különböző épületeket.,
Building.Path.DisplayName,Ösvény,
Building.Path.FlavorDescription,"""Lépésről lépésre, haza visz az út..."" — népszerű hód dal kezdete","Adapted from ""Take Me Home, Country Roads"" by John Denver"
Building.PlankFence.Description,Dekoratív kerítés deszkákból készítve.,
Building.PlankFence.DisplayName,Deszka kerítés,
Building.Platform.Description,"Egy emelt állvány, amely szolgálhat hídként, vagy alapként más épületek számára.",
Building.Platform.DisplayName,Állvány,
Building.Platform.FlavorDescription,A lenyűgöző teherbírású hód állványok igazi építészeti mesterművek.,
Building.PowerShaft.Description,Kinetikus energiát továbbít.,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.PowerShaft.DisplayName,Hajtótengely,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.PowerShaft.FlavorDescription,Kazkó bá nagy találmányainak egyike.,Flavor text for the Power Shaft building
Building.PowerShaftHigh.DisplayName,Magas hajtótengely,For ease of translation could also be called an axle
Building.PowerWheel.Description,Hódhajtású hódkerék.,
Building.PowerWheel.DisplayName,Erőkerék,Meaning a wheel that produces power
Building.PowerWheel.FlavorDescription,A legnagyszerűbb ötletek néha a legkisebbektől jönnek.,This building looks like a hamster wheel.
Building.PrintingPress.Description,Papíralapú termékeket gyárt.,Paper should be the same as Good.Paper.DisplayName
Building.PrintingPress.DisplayName,Nyomda,
Building.PrintingPress.FlavorDescription,"Az igazán jó könyv nem csak a szellemet táplálja - az utolsó oldal is elfogy.",
Building.Refinery.Description,"Robotüzemanyagot állít elő különféle alapanyagokból.","Bots should be the same as Bot.PluralDisplayName."
Building.Refinery.DisplayName,Finomító,"A building where old food is processed to make biofuel"
Building.Refinery.FlavorDescription,"A maradék csak akkor hulladék, ha nem tudsz mit kezdeni vele.","Adapted ""Reduce, reuse, recycle"" tagline."
Building.Roof.FlavorDescription,"A tető az utolsó rész – és az első, amit mindenki néz.",
Building.Roof1x1.DisplayName,Tető 1x1,Numbers at the end denote size X by Y
Building.Roof1x2.DisplayName,Tető 1x2,Numbers at the end denote size X by Y
Building.Roof2x2.DisplayName,Tető 2x2,Numbers at the end denote size X by Y
Building.Roof2x3.DisplayName,Tető 2x3,Numbers at the end denote size X by Y
Building.Roof3x2.DisplayName,Tető 3x2,Numbers at the end denote size X by Y
Building.RooftopTerrace.Description,Ahol a hódok társasági életet élhetnek és gyönyörködhetnek a kilátásban.,
Building.RooftopTerrace.DisplayName,Tetőterasz,
Building.RooftopTerrace.FlavorDescription,"Remek hely egy kis esti beszélgetéshez – és a kilátás sem utolsó!",
Building.Rowhouse.Description,"Praktikus, kis helyet foglaló közös szállás.",
Building.Rowhouse.DisplayName,Sorház,"A rowhouse is a narrow and tall house that is connected to other homes on both sides, often built in a row."
Building.Rowhouse.FlavorDescription,"Jobb sorokban, mint üregekben.",
Building.Ruins.Description,Vasforrás.,Metal is a resource
Building.Ruins.DisplayName,Romok,
Building.Ruins.FlavorDescription,"Az emberi világ romjai között a hódok olyan kincset találtak, ami még a fánál is többet ért.",
Building.Scarecrow.Description,"Jól néz ki, és elvileg elriasztja a madarakat.",
Building.Scarecrow.DisplayName,Madárijesztő,
Building.Scarecrow.FlavorDescription,A jó madárijesztő csendben dolgozik.,
Building.ScavengerFlag.Description,A gyűjtögetők hulladékvasat gyűjtenek a romokból.,Metal is a resource;ruins are a building
Building.ScavengerFlag.DisplayName,Vasgyűjtő zászló,
Building.ScavengerFlag.FlavorDescription,"A hulladékvas új fejezetet nyitott a hódtelepülések életében – nem mindenki örült neki.",
Building.Scratcher.Description,Egy vakarógép.,
Building.Scratcher.DisplayName,Vakarózó,A rotating brush which beavers use to scratch their fur. For reference google videos of cow scratchers.
Building.Scratcher.FlavorDescription,"A hátukat vakarja, de a tenyerük már viszket.","Itching meaning having an itch as well as an idiom for wanting to do something very much. If possible try to adapt the phrase to fit your language. Iron Teeth must be the same as Faction.IronTeeth.DisplayName."
Building.Shower.Description,"Ahol a hódok frissítő zuhanyt vehetnek.",
Building.Shower.DisplayName,Zuhany,A simple shower for beavers.
Building.Shower.FlavorDescription,"Egy jó zuhany után még a pusztaságot is könnyebb elviselni.",
Building.Shredder.Description,"Ledarálja, és kockákba préseli a hulladékvasat.",
Building.Shredder.DisplayName,Daráló,
Building.Shredder.FlavorDescription,Kacatokból kincsek.,"Adapted from ""One man’s trash is another man’s treasure"""
Building.Shrub.DisplayName,Cserje,Must be different than 'Bush' which is a plant in the game
Building.Shrub.FlavorDescription,"Ami szép, az jó – de ami szép és finom, az hódra van szabva.",
Building.Slope.DisplayName,Rámpa,
Building.Slope.FlavorDescription,"Akárki is követte el, a hódok hálásak érte.",
Building.Sluice.AboveContaminationToggle,{0} szennyezés felett zárjon be,"Label of a toggle that enables automation based on contamination level, {0} stands for currently set level, ie 5%"
Building.Sluice.BelowContaminationToggle,{0} szennyezés alatt zárjon be,"Label of a toggle that enables automation based on contamination level, {0} stands for currently set level, ie 5%"
Building.Sluice.Contamination,Szennyezés: {0},"Level of the water contamination, {0} stands for contamination level in percent. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Building.Sluice.Description,"Egyirányúsított, automatizált zsilipkapu.",
Building.Sluice.DisplayName,Zsilipkapu,"Also known as a sluice gate. Different than Building.Floodgate.DisplayName."
Building.Sluice.DownstreamDepth,Alsó vízmélység: {0},{0} stands for chosen downstream depth maintained by the building.
Building.Sluice.FlavorDescription,"""Zsömi, megint elfelejtetted leereszteni a rosszvizet, igaz?"" — Nóra nagyi",Badwater has to be consistent with Good.Badwater.DisplayName
Building.Sluice.Mode.Auto,Automatikus,Label of the toggle that sets the sluice to work in automatic mode
Building.Sluice.Mode.AutoClosed,Automatikus: Zárva,Label for sluice working in automatic mode and is closed
Building.Sluice.Mode.AutoOpen,Automatikus: Nyitva,Label for sluice working in automatic mode and is opened
Building.Sluice.Mode.Closed,Zárva,Label of the toggle that sets the sluice to be always closed
Building.Sluice.Mode.Open,Nyitva,Label of the toggle that sets the sluice to be always open
Building.Sluice.Synchronize,Szinkronizálás a szomszédos zsilipekkel,
Building.Sluice.MaximumDepthToggle,{0} alsó vízmélység alatt zárjon be,Label of a toggle that enables automation based on the maximum downstream depth of water
Building.SmallIndustrialPile.DisplayName,Kis ipari halom,
Building.SmallIndustrialPile.FlavorDescription,"""Na persze, tettek rá egy tetőt és máris iparinak hívják. Tipikus."" — Tobzi",
Building.SmallPile.Description,Nagy áruk (pl. rönkök) tárolására szolgál.,
Building.SmallPile.DisplayName,Kis halom,
Building.SmallPile.FlavorDescription,Egy magára valamit is adó hód nem tesz árut a földre.,
Building.SmallTank.Description,Folyadékok tárolására szolgál.,
Building.SmallTank.DisplayName,Kis tartály,
Building.SmallTank.FlavorDescription,"Ki a vizet számolja, aszályban is túlél.",
Building.SmallWarehouse.Description,Árut tárol.
Building.SmallWarehouse.DisplayName,Kis raktár,
Building.SmallWarehouse.FlavorDescription,"""Hányszor mondjam még el? Dinamit a spájzba nem való!"" — Nóra nagyi",
Building.Smelter.Description,Hulladékvasból vasrudakat önt.,"Scrap metal should be the same as Good.ScrapMetal.DisplayName and metal blocks should be the same as Good.MetalBlock.DisplayName"
Building.Smelter.DisplayName,Vaskohó,"A facility that uses very high temperature to produce metal blocks from iron ore."
Building.Smelter.FlavorDescription,"Az új hód világ verejték és égett szőr szagú.",
Building.StartingLocation.DisplayName,Indulási helyszín,
Building.StreamGauge.Contamination,Szennyeződés: {0},"Level of the water contamination, {0} stands for contamination level in percent. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Building.StreamGauge.Current,Vízhozam: {0} m³/s,"Intensity of the water current, {0} stands for current speed in cubic metre per second"
Building.StreamGauge.Depth,Mélység: {0},"Level of the water depth, {0} stands for this value in meters"
Building.StreamGauge.Description,"Méri a vízmélységet, az áramlási sebességet, és a rosszvízszennyezést.",Badwater should be the same as Good.Badwater.DisplayName.
Building.StreamGauge.DisplayName,Folyami mérce,
Building.StreamGauge.FlavorDescription,"Az hódok dolgának árja van, mely habdagálylyal boldogságra visz.","Adapted quote from Shakespeare's 'Julius Cesar'"
Building.StreamGauge.GreatestDepth,Mélységrekord: {0},"Level of the greatest noted water depth, {0} stands for this value in meters"
Building.StreamGauge.Reset,Visszaállítás,
Building.SuspensionBridge.Description,Átkelést biztosít hézagok felett.,
Building.SuspensionBridge.FlavorDescription,"Erősebb, mint amilyennek látszik.",
Building.SuspensionBridge1x1.DisplayName,Függőhíd 1x1,Numbers at the end denote size X by Y
Building.SuspensionBridge2x1.DisplayName,Függőhíd 2x1,Numbers at the end denote size X by Y
Building.SuspensionBridge3x1.DisplayName,Függőhíd 3x1,Numbers at the end denote size X by Y
Building.SuspensionBridge4x1.DisplayName,Függőhíd 4x1,Numbers at the end denote size X by Y
Building.SuspensionBridge5x1.DisplayName,Függőhíd 5x1,Numbers at the end denote size X by Y
Building.SuspensionBridge6x1.DisplayName,Függőhíd 6x1,Numbers at the end denote size X by Y
Building.SuspensionBridgeMetal.FlavorDescription,"Olyan erős, mint amilyennek látszik.",
Building.SwimmingPool.Description,Úszómedence.,
Building.SwimmingPool.DisplayName,Úszómedence,
Building.SwimmingPoll.FlavorDescription,"""Nagyon jó idő, de a faroktempón még dolgozhatunk!"" — Tobzi","Backstroke is a swimming style, but beavers also have tails. Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.TappersShack.Description,"Csapolókat alkalmaz, akik gyantát és szirupot csapolnak a fákból.",
Building.TappersShack.DisplayName,"Csapolókunyhó","A shack where workers tap trees to gather sap and syrups, similar to sugar shacks in Canada."
Building.TappersShack.FlavorDescription,"A kölyköket már kicsi koruktól arra tanítják, hogy minden csepp számít – legyen az víz, vagy gyanta.",
Building.TeethGrindstone.Description,"Törött fogak élesítésére",Broken teeth refers to Need.BrokenTeeth.CriticalDescription
Building.TeethGrindstone.DisplayName,Fogcsiszoló kő,A grindstone contraption for sharpening beaver teeth
Building.TeethGrindstone.FlavorDescription,"Miért kínoznád magad törött fogakkal, mikor le is csiszolhatod őket?","This building is used by beavers to clear the ""broken teeth"" status. Broken teeth refers to Need.BrokenTeeth.DisplayName."
Building.TerrainBlock.Description,"Mesterséges föld kocka. Az építés irányát a tetején lévő nyilak mutatják.",Block of terrain refers to Building.TerrainBlock.DisplayName.
Building.TerrainBlock.DisplayName,Földkocka,"A 1x1x1 chunk of terrain"
Building.TributeToIngenuity.DisplayName,Hódolat az ügyességnek,Name of a monument
Building.TributeToIngenuity.FlavorDescription,"""Persze, hogy van célja! Lenyűgöz!"" — Kazkó bá","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.TripleDynamite.DisplayName,Tripla dinamit,Dynamite that makes 3 blocks deep hole
Building.TripleFloodgate.DisplayName,Tripla zsilip,
Building.TripleFloodgate.FlavorDescription,"Ha ennél magasabb lenne, már nem tudná megtartani a víz súlyát.",
Building.TripleLodge.Description,Sok hód lakik benne.,Houses thrice the amounts of beavers as normal lodge
Building.TripleLodge.DisplayName,Tripla kunyhó,
Building.TripleLodge.FlavorDescription,"""Szaporodjatok és sokasodjatok"" – ezt a mondást a Virágvölgyiek komolyan veszik.",Go Forth and multiply is a biblical quote.
Building.TriplePlatform.DisplayName,Tripla állvány,Triple as triple the height of a normal platform
Building.TriplePlatform.FlavorDescription,A lábakat csócsálni szigorúan tilos!,
Building.Tubeway.Description,"Gyors, habár szűkös módja a közlekedésnek.",
Building.Tubeway.DisplayName,Surranócső,"Tubeways are used as a network of large pipes for faster transportation around the map. Departure and arrival happens in Building.TubewayStation.DisplayName, so they should be named similarly."
Building.Tubeway.FlavorDescription,"Két hódfej összekoppan a surranócsőben—és már jön is az új Vasfog-találmány!","Hitting your head can be a source of crazy ideas in cartoons. Iron Teeth should be the same as Faction.IronTeeth.DisplayName"
Building.TubewayStation.Description,A surranócső-hálózat ki- és bejárataként szolgál.,
Building.TubewayStation.DisplayName,Surranóállomás,"Beavers use it to enter Building.Tubeway.DisplayName, so they should be named similarly."
Building.TubewayStation.FlavorDescription,"Klausztrofóbiás hódok, kérjük, az ösvénynél maradjanak!","Tubeways are very tight corridors, so they wouldn't be accessible for beavers scared of such places."
Building.Tunnel.Description,"Felállványozott alagutat fúr a hegybe. Használd a Rétegek eszközt, hogy a hegy belsejébe láss!",
Building.Tunnel.DisplayName,Alagút,Tunnel is a type of building that - when built - removes a tile of terrain and creates an underground tunnel
Building.UndergroundPile.DisplayName,Földalatti halom,"The underground version of a pile, for reference check Building.SmallPile.DisplayName or Building.LargePile.DisplayName"
Building.UndergroundPile.FlavorDescription,Az ekkora tárolóhely már megéri a sok lépcsőzést.,
Building.UndergroundRuins.Description,"Kibányászható hulladékvassal teli, rég eltemetett romok.",
Building.UndergroundRuins.DisplayName,Eltemetett romok,Buried ruins on top of which an extracting facility - a mine - can be placed.
Building.UndergroundRuins.FlavorDescription,"Bármit is építettek odalent az embörök, a vasat nem sajnálták.",
Building.VerticalPowerShaft.Description,Kinetikus energiát továbbít. Függőlegesen is.,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.VerticalPowerShaft.DisplayName,Függőleges hajtótengely,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.VerticalPowerShaft.FlavorDescription,Mire ez a nagy felhajtás?,"Power being mechanical/kinetic, not electricity. Alternative name: axle."
Building.VerticalTubeway.Description,"Modern, hatékony, bár kicsit szűkös közlekesést tesz lehetővé. Függőlegesen is.",The first sentence must be the same as Building.Tubeway.Description
Building.VerticalTubeway.DisplayName,Függőleges surranócső,"An expanded version of the Building.Tubeway.DisplayName with a solid platform on top of it, that allows other Tubes or structures to be placed on top of it. Tubes are used as a network of large pipes for faster transportation around the map. Departure and arrival happens in Building.TubewayStation.DisplayName, so they should be named similarly."
Building.VerticalTubeway.FlavorDescription,"Fel, fel, le, le, balra, jobbra, balra, jobbra, bukj, araszolj… hmm… nem innen indultunk?",Konami Code reference
Building.WaterPump.Description,Ivóvizet szivattyúz és szűr a hódok számára. A rosszvízszennyezés csökkenti a hatékonyságát.,Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.WaterPump.DisplayName,Vízszivattyú,
Building.WaterPump.FlavorDescription,"Friss víz – lendület minden kortyban!","""Pump"" pun, feel free to adapt."
Building.WaterSource.DisplayName,Vízforrás,
Building.WaterSource.FlavorDescription,"""Legyen mindig folyó a folyód!"" — Hód üdvözlés",
Building.WaterWheel.Description,"Vízi hajtókerék. Tedd a folyóba és már forog is!",Power is not an electrical but mechanical/kinetic energy.
Building.WaterWheel.DisplayName,Vízkerék,
Building.WaterWheel.FlavorDescription,Kazkó bá mesterműve.,"Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.WindGauge.Description,"Méri a szél sebességét és mutatja az irányát.",
Building.WindGauge.DisplayName,Szélmérő,A decoration that turns towards the wind
Building.WindGauge.FlavorDescription,"""Egyszer a testvéreimmel rászereltünk egy pár szárnyat. Majdnem repült… pár métert."" — Tobzi","Referencing the Wright brothers and their first-ever aircraft. Pina is a younger beaver figure that's exploring the world and isn't related to any faction in particular. Pina as a name relates to the pine tree, the translated name shouldn't suggest a gender if possible."
Building.WindGauge.WindStrength,"Szélerősség: {0}%","This tells how strong the wind is in percent between 0 and 100"
Building.WindTunnel.Description,"Minden hódnak szárnyakat ad! Extrém szórakozás, csak itt!",
Building.WindTunnel.DisplayName,Szélcsatorna,
Building.WindTunnel.FlavorDescription,"""Hiszem, hogy tudok repülni. Csak ki kell számolni a szökési sebességet."" — Kazkó bá","Ol' Kazko is a legendary forefather of modern beavers, famous inventor, pioneer of rapid industrialization."
Building.Windmill.Description,A változó szélenergiát hasznosítja.,
Building.Windmill.DisplayName,Szélkerék,
Building.Windmill.FlavorDescription,"""Mi csak forgácsok vagyunk a szélben!"" — Virágvölgyi dal","Reference to ""Dust in the Wind"" by Kansas."
Building.WoodFence.Description,Dekoratív kerítés fából készítve.,
Building.WoodFence.DisplayName,Fa kerítés,
Building.WoodFence.FlavorDescription,"Mint egy gát, csak nem a víznek, hanem a hódoknak. Hódgát.",
Building.WoodWorkshop.Description,"Gyantával átitatva erősíti a deszkákat.","It produces treated / impregnated planks. The resin used is a pine resin."
Building.WoodWorkshop.DisplayName,Fakezelő műhely,It produces treated / impregnated planks. Do NOT use the same term as lumber mill.
Building.WoodWorkshop.FlavorDescription,Ne kezeld le a kezelt deszkát!,"'Because resins' sounds like 'Because reasons', wordplay on an older meme."
Building.WoodenStairs.DisplayName,Fa lépcső,
Building.WoodenStairs.FlavorDescription,A lépcső feltalálásával a hódok a következő szintre léptek.,
Building.ZiplineBeam.Description,Az állomások közt a kötélpályát tartó vízszintes gerenda.,
Building.ZiplineBeam.DisplayName,Kötélpályagerenda,"A horizontal pole with an anchor point at its end that serves as a base for connecting zipline networks, which are used by beavers to travel faster around the map. Departure and arrival happens in Building.ZiplineStation.DisplayName, so they should be named similarly."
Building.ZiplineBeam.FlavorDescription,"Bevett szokás, hogy mikor két hód elhalad egymás mellett, összecsapják a farkukat.",Beaver version of a high five
Building.ZiplinePylon.Description,Az állomások közt a kötélpályát tartó függőleges oszlop.,
Building.ZiplinePylon.DisplayName,Kötélpályaoszlop,"A high pole that serves as a base for connecting zipline networks, which are used by beavers to travel faster around the map. Departure and arrival happens in Building.ZiplineStation.DisplayName, so they should be named similarly."
Building.ZiplinePylon.FlavorDescription,"""Építened kell még oszlopot!"" — Tobzi","Reference to the Starcraft warning ""We must construct additional pylons"", but a subversion of expectations since it's not on the pylon building."
Building.ZiplineStation.Description,A közlekedés gyors és izgalmas módja.,
Building.ZiplineStation.DisplayName,Kötélpályaállomás,"A station used for boarding zipline networks. They can be extended further using Building.ZiplinePylon.DisplayName, so they should be named similarly."
Building.ZiplineStation.FlavorDescription,"""Ilyen hosszú kell legyen a farkad a belépéshez!"" — Tábla a bejáratnál","Reference to signs placed at amusement parks in front of the rides, but requiring tail length instead of height."
BuildingTools.CantUnlock,"Nem lehet feloldani a(z) {0}-t, nincs elég Tudománypont.",{0} stands for Building.DisplayName {1} stands for amount. Prompt when player doesn't have enough science points to unlock a building.
BuildingTools.DistrictsInConflict,A kerületeket el kell választani egy Kerülethatárral.,A warning when a player tries to connect two districts without separating them with a District Crossing. District Crossing should be the same as Building.DistrictCrossing.DisplayName
BuildingTools.Multiple,Tartsd lenyomva a bal egérgombot több objektum elhelyezéséhez,Tooltip that tells the players that they can place multiple objects at once
BuildingTools.UnlockLabel,Feloldás:,"Label of the button that unlocks the building, please keep short."
BuildingTools.UnlockPrompt,"Biztos vagy benne, hogy fel akarod oldani a(z) {0}-t? {1} Tudománypontba kerül.",{0} stands for Building.DisplayName {1} stands for amount. Prompt when player presses to unlock a building.
Buildings.AboveGround,<YellowHighlight>Föld feletti:</YellowHighlight> Más épületek tetejére kell helyezni.,
Buildings.BadwaterAccess,<YellowHighlight>Rosszvízfüggő:</YellowHighlight> Rosszvizet igényel.,
Buildings.BottomConstraint,Ezt nem lehet a térkép legaljára építeni.,An alert for when someone tries to build at the lowest layer of the map.
Buildings.ContinuousTerrainConstraint,"Megszakítások nélküli, folytonos föld szükséges a térkép aljáig.",Warning when trying to place an object (that requires it) on a terrain with gaps
Buildings.DeletePrompt,"Biztos vagy benne, hogy le akarod bontani a kijelölt épület(ek)et? Nem lehet visszavonni.",
Buildings.EntranceBlocked,Bejárat blokkolva.,"A notification for when a building entrance is blocked, keep it short"
Buildings.GroundOnly,<YellowHighlight>Csak a földön:</YellowHighlight> Csak közvetlenül földre építhető.,
Buildings.InfiniteDepth,"végtelen.",Used as an infinite depth description in Buildings.UndergroundDepth key. Please keep the dot if it's used in other similar keys e.g. Buildings.TopConstraint
Buildings.InvalidTerrainLevel,Ezt nem lehet a térkép legaljára építeni.,An alert for when someone tries to build at the lowest layer of the map.
Buildings.Solid,<YellowHighlight>Stabil:</YellowHighlight> Más épületek építhetők a tetejére.,Solid or Stackable — something that tells the player that you can build on top of it
Buildings.TopConstraint,Nem lehet ilyen magasra építeni.,An alert for when someone tries to build forbidden buildings at the max terrain level of the map.
Buildings.UndergroundDepth,<YellowHighlight>Mélység:</YellowHighlight> {0}, Denotes a building that is built underground. The number tells how many blocks underground it occupies.
Buildings.UnsuitableBuildingAbove,"{0} és {1} nem építhető egymásra.","Shown when the player tries to place a building on top of another (invalid) building, {0} and {1} stand for buildings DisplayName."
Buildings.UnsuitableBuildingBelow,Ez az épület {0} tetejére kell építeni,{0} stands for another buildings DisplayName. This is a warning shown to the user during building placing.
Buildings.WaterAccess,<YellowHighlight>Vízfüggő:</YellowHighlight> Vizet igényel.,
Buildings.Wonder,<YellowHighlight>Csoda:</YellowHighlight> A hódmérnöki teljesítmény csúcsa.,Wonder is a keyword. Shown after selecting a wonder type building.
Camera.StateSaved,Kamerahelyzet mentve,"Notification on top of the window when camera state(location, rotation) is saved by player."
CancelPlantingTool.Description,"Használd, hogy megszüntesd a telepítési területek megjelölését.",Description of a tool that removes fields.
CancelPlantingTool.Title,Telepítési terület törlése,Tool that removes fields so the beavers won't plant there.
Carrying.Carry,Szállít: {0} ({2} kg-ból {1} kg),{0} stands for Good.DisplayName {1} stands for carried good weight {2} stands for beaver lifting capacity. Tells player what the beaver is carrying and how much it weighs in comparison to the beaver's strength
Carrying.Nothing,semmi,When beaver is carrying nothing.
CrashScreen.CommentPlaceholder,"(Opcionális) Megjegyzés a csapatunknak", "Shown in a crash screen text field where players can optionally enter a comment that will help track down the bug"
CrashScreen.EmailPlaceholder,"(Opcionális) E-mail cím - arra az esetre, ha kapcsolatba kellene lépnünk Veled", "Shown in a crash screen text field where players can optionally enter their email"
Clusters.SharesPower,"Ha maga meg van hajtva, a szomszédos épületeket is meghajtja.",Power is not an electrical but mechanical/kinetic energy. Notifies that the power is shared with buildings that touch this building.
